trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-266.36682897055215,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-41.34477883530635,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-145.1886955770651,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-133.0111641614402,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-60.67279983157779,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-152.74179727580753,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-129.8660533877044,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-60.51489047184255,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-59.861247962411305,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-82.71955682722407,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-82.06899703296469,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-81.33769303824688,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-158.80834525005196,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,-59.575027677404705,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-25.569053573897744,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-93.99650670061817,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-71.74747036102276,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-80.65821907428113,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-70.09161236007098,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-158.92081948044657,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-114.24234795612638,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-136.6566409800482,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-177.24275299981502,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-128.8174839091704,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-199.3167795240243,"{0: 13, 1: 8, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-91.09913606330437,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-140.03227097136337,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-48.414265322262864,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-83.88780047578162,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-39.46273132310051,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
