trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-82.82053973249973,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9025}",25,0,-206.02571980677249,"{0: 9, 1: 6, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-102.13660488098625,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,7,9.97971787687591,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-29.22727699407109,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-142.03196154812616,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-22.891747447486964,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",35,17,-17.379823163474533,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-148.67929556887134,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",30,0,-41.80765807087042,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",30,15,-87.90435257144819,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,16,7.231853614325072,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-48.880100197588696,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",25,0,4.400691294391229,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,6,-78.85168939801558,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,10,17.490865047740034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,6,-10.34781879766886,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,1,15.020542385919804,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,8,15.724373965141856,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",20,12,16.373141331840745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",25,16,15.332469840200902,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.323533544973709}",20,5,-1.5681536086415864,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",20,8,-13.619589366074873,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",20,8,-12.199626347328547,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",20,0,31.36547383514896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,13,11.059328595193069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",25,18,14.361763977196341,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",20,0,-2.244961540989882,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",20,14,11.299226248780904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,2,-2.618332187661746,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",30,13,38.79565114204837,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",20,9,19.807153003907054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557582}",20,0,-8.557682741796143,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.174824614723797}",20,11,21.75775667299502,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",25,9,6.9708283454003555,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",20,14,13.350422113548877,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",20,3,-29.076813397023955,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",30,18,22.313607138607395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",25,6,-7.590173485979186,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",25,6,4.545975921278548,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",25,12,15.567325778361734,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",20,12,15.89843306698453,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",25,7,31.949907541115415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,13,11.843758987036715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",35,11,-22.767481266121433,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,6,10.355527563732846,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085075}",20,10,20.800537692720198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,12,13.87696816987904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,7,34.012441560194354,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",20,15,8.649906470345673,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",30,16,26.961677705723208,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",20,9,19.471766057667796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",20,10,-23.976977988616753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",25,11,18.40171262790547,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",25,13,24.874720068886695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",20,8,22.744565993187045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",25,15,13.35239985253283,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",20,6,27.4450564219056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,6,28.433917086257942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.046069798986951946}",20,6,23.53795090930392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.043766309037604346}",20,9,25.356747666670046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.04157799358572413}",20,6,21.729060593644235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.03949909390643792}",20,6,14.8532039289508,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.03752413921111602}",25,8,30.520378811176464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03564793225056022}",20,15,8.713759469027913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
