trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.16176110807956,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.946760282832326,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.89351280188976,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.65782319868998,"{0: 8, 1: 0, 2: 7, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.44041885549045,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-3.0851457467593635,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.274724916226866,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,13,-26.849460167721716,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.93958559453849,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,6,-39.70636274146156,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.91386332972777,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.6409364226988,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.08666392156332,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-47.12899646894503,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.42514447493286,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.85657425011556,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.11687446508765,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.97213122128738,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.1153999150913,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.97964557282971,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-63.74931392221852,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-168.84406918755784,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-217.355504459886,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",30,0,-190.78948084267637,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",35,0,-287.29907154678943,"{0: 14, 1: 5, 2: 10, 3: 3, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-150.64467182609602,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-158.05807890658255,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-108.65788289759867,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-74.6133975469508,"{0: 23, 1: 4, 2: 0, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-130.17527004352903,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
